id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,Marina Vale,folk,nostalgic,0.64,102,0.74,0.68,0.57
12,Velvet Skyline,The Harbor Club,r&b,romantic,0.72,98,0.81,0.75,0.33
13,Neon District,Byte & Bloom,house,upbeat,0.88,126,0.79,0.91,0.09
14,Winter Orchard,Elm & Reed,folk,reflective,0.45,84,0.55,0.50,0.79
15,Desert Echoes,Solstice Crew,reggae,laid-back,0.61,95,0.72,0.70,0.48
16,Iron Harbor,Steel Orchard,metal,aggressive,0.95,168,0.30,0.53,0.02
17,Moonlit Sonata,Clara Voss,classical,dreamy,0.24,76,0.58,0.28,0.94
18,City Sparks,Kiara Lane,hip-hop,confident,0.84,112,0.73,0.81,0.16
